solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,ra_dec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
1.64E+18,2.92E+12,895292880,2015,45.16465301,0.13873594,0.154503661,0.118130541,-0.31505,71,0,71,0,0,0,0.487502479,15.95727548,false,1.544504,3.117755,,2,8,false,0.5211274,0.5152972,0.59774107,0.8655695,-130.21852,17.727903,-44.10503,24.592,70,13193.97837,14.56463107,15.22383064,NOT_AVAILABLE,176.9657227,-48.67687441,42.74696854,-16.23650696
1.64E+18,2.99E+12,357757792,2015,45.15178079,42.56280482,0.154113236,19.75083036,-0.99915,53,0,53,0,0,0,1.513168481,49.46149279,false,1.1300557,0.0676728,,2,8,false,0.69004756,0.9674076,0.6267145,0.8724545,-157.37224,22.041931,-37.2296,22.130322,52,191.9905126,2.543990324,19.81657064,NOT_AVAILABLE,176.9526243,-48.68641664,42.73402784,-16.23311985
1.64E+18,2.99E+12,491340423,2015,45.14638246,0.433346427,0.160357532,0.334722525,-0.47035,71,0,71,0,0,0,0.871692361,3.544433394,false,1.3580859,0.50953054,,2,9,false,0.63729525,0.7239625,0.64445966,0.8716292,-144.51915,21.816973,-39.198986,24.505455,71,1323.25969,3.853952151,17.72065736,NOT_AVAILABLE,176.9401394,-48.68597184,42.73055101,-16.22557075
1.64E+18,3.06E+12,185567273,2015,45.11664626,0.139216059,0.144719475,0.124391748,-0.34175,79,0,78,0,1,0,0.505465556,19.97804325,false,1.9476244,3.0199716,,2,9,false,0.59276253,0.57538337,0.6397192,0.87302893,-135.82986,20.299383,-41.45603,25.21809,79,14763.06541,30.17284528,15.1018287,NOT_AVAILABLE,176.9259338,-48.71823461,42.69617294,-16.231835
1.64E+18,3.06E+12,880874353,2015,45.12994853,1.812668938,0.147819019,1.435843758,-0.49105,62,0,62,0,0,0,0,0,false,1,0.044891585,,2,8,false,0.5853848,0.68905365,0.60847884,0.8581155,-142.77718,20.381441,-40.947895,23.881865,62,153.1025145,2.060754907,20.06231426,NOT_AVAILABLE,176.9365417,-48.70650589,42.71036598,-16.23275932
1.64E+18,3.33E+12,466508721,2015,45.05816666,0.369426311,0.127405585,0.359783396,0.02795,68,68,68,62,0,6,2.120810092,239.7691714,false,20.579327,0.21874884,0.18486676,2,9,false,0.53277373,0.25076395,0.6069509,0.90713966,-107.679146,13.363795,-45.450382,27.814013,76,177607.3667,104.6110012,12.40111763,NOT_AVAILABLE,176.8832662,-48.77234579,42.63265493,-16.23128642
1.64E+18,3.37E+12,547820161,2015,45.03361029,0.14415283,0.128559553,0.104797028,-0.188,66,0,66,0,0,0,0.535925697,36.85950755,false,1.6914082,3.058333,,2,9,false,0.36354184,0.3287254,0.35100812,0.89352256,-74.46676,12.317116,-52.770164,26.080332,73,26836.30927,12.4291824,14.45296309,NOT_AVAILABLE,176.8561231,-48.78921132,42.60855166,-16.2229952
1.64E+18,3.44E+12,5347969,2015,45.06731945,4.712434315,0.144900139,2.830220837,-0.84495,47,0,46,0,1,0,0,0.023012533,false,1,0.04320078,,2,6,false,0.579699,0.76396495,0.5878145,0.89032865,-142.67139,23.389753,-36.460125,25.732552,47,137.313287,3.233922355,20.18048866,NOT_AVAILABLE,176.8738126,-48.75361081,42.64710159,-16.21723585
1.64E+18,3.50E+12,886994317,2015,45.05595108,0.122865974,0.146111266,0.112562169,-0.16115,68,0,68,0,0,0,0.415945075,14.58107111,false,1.7170992,4.0701427,,2,9,false,0.51332647,0.25265834,0.58258265,0.9048829,-105.216934,12.901666,-45.884068,27.721601,77,15168.79576,21.11577489,15.0723923,NOT_AVAILABLE,176.8605135,-48.76094828,42.63614954,-16.21275126
1.64E+18,3.61E+12,886979590,2015,45.03182593,1.37142081,0.144177176,0.747099118,-0.81675,52,0,51,0,1,0,0.440447508,0.224237137,false,1.0327156,0.22802027,,2,9,false,0.20398593,0.6810777,0.1946096,0.89307886,-98.15233,20.061428,-44.316093,24.215328,52,479.6337113,5.75277783,18.82249581,NOT_AVAILABLE,176.8371937,-48.77964414,42.61153637,-16.20753945
