solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
1.63537841078193E+018,20340965295488,1052455719,2015,44.9541575995,44.6037193086,0.2702346768,20.6039027835,,,,,,,-0.9994,,,,,,,,,,54,0,54,0,0,0,,0,0,false,1,0.069897704,,2,8,false,0.32999298,0.97875965,0.3059343,0.91694826,-151.56886,23.28987,-30.930208,23.372448,54,207.9808400788,1.9361691783,19.7297117436,NOT_AVAILABLE,176.6178616243,-48.7476991761,42.5726566567,-16.0642638266
1.63537841078193E+018,20444044513664,1089083973,2015,44.9568616228,50.6802646267,0.2830272218,23.4032699244,,,,,,,-0.99985,,,,,,,,,,54,0,54,0,0,0,,0.7976929997,0.9742748721,false,1.1340448,0.2591848,,2,7,false,0.32999295,0.97875965,0.30593398,0.91694814,-151.56888,23.289888,-30.930225,23.372467,54,589.9514047338,3.3268618323,18.5977294649,NOT_AVAILABLE,176.6068086534,-48.7368440652,42.5792463551,-16.0528244475
1.63537841078193E+018,20512764246144,1038888162,2015,44.9879744013,43.0462616165,0.2985782486,19.8284327395,,,,,,,-0.9985,,,,,,,,,,45,0,45,0,0,0,,0,0,false,1,0.04360546,,2,7,false,0.19600356,0.9777397,0.16782366,0.91282845,-151.11624,22.33326,-29.640196,22.378084,44,154.2380652548,2.4044579376,20.0542911417,NOT_AVAILABLE,176.6227724568,-48.7036944994,42.6149399519,-16.047065383
1.63537841078193E+018,20547123984768,310329688,2015,44.9705889838,46.5745713254,0.2990346309,21.4406790151,,,,,,,-0.99845,,,,,,,,,,45,0,43,0,2,0,,2.975355873,2.2920366004,false,1.5489258,0.03152467,,2,7,false,0.20583346,0.9781087,0.18214747,0.91429275,-150.233,22.59979,-28.876305,22.651426,44,166.0475295608,2.8110545225,19.9741890174,NOT_AVAILABLE,176.6039140996,-48.7158434253,42.5977818548,-16.0415390253
1.63537841078193E+018,20684562684928,747354783,2015,44.9182939686,49.0147593723,0.3003050591,22.5768488207,,,,,,,-0.9997,,,,,,,,,,45,0,45,0,0,0,,0,0,false,1,0.1705251,,2,7,false,0.19633645,0.97851944,0.17067552,0.91578597,-150.78307,22.398695,-29.398464,22.436085,45,330.5568648443,2.4988230089,19.2266546118,NOT_AVAILABLE,176.5472446413,-48.7524398835,42.5461452004,-16.0250053309
1.63537841078193E+018,20787641902592,1017407667,2015,44.9635448567,47.8326774531,0.3172715712,22.0901388959,,,,,,,-0.99965,,,,,,,,,,54,0,54,0,0,0,,1.5650318886,1.5690089635,false,1.2528874,0.09707125,,2,8,false,0.32999283,0.9787595,0.30593315,0.9169479,-151.56894,23.289934,-30.930271,23.372515,54,330.0916961664,3.2132042038,19.2281835656,NOT_AVAILABLE,176.5766577839,-48.7081787719,42.5963302849,-16.0220388218
1.63537841078193E+018,20890721109504,406093182,2015,44.8609300149,1.2783567433,0.2707798011,0.7261120198,,,,,,,-0.83865,,,,,,,,,,71,0,71,0,0,0,,1.3708984398,2.6012828941,false,1.3747768,0.17171106,,2,10,false,0.36064023,0.7355744,0.3958954,0.8778917,-136.75365,19.752462,-42.12655,23.204271,71,564.4897261501,2.4817559198,18.6456299587,NOT_AVAILABLE,176.5186017853,-48.8141334086,42.4800768913,-16.0364131494
1.63537841078193E+018,21303037976832,567815204,2015,44.8707190553,38.4513265575,0.3081237319,17.7592648712,,,,,,,-0.99995,,,,,,,,,,62,0,62,0,0,0,,0.3914567836,3.5952721524,false,1.2880709,2.6738782,,2,9,false,0.41304845,0.9741321,0.36361498,0.8985706,-156.99608,21.678074,-36.741978,21.721333,62,4818.2600674936,8.3579911884,16.3175444701,NOT_AVAILABLE,176.4883780475,-48.7810573851,42.501209623,-16.0035830928
1.63537841078193E+018,21337397716352,1001132025,2015,44.8847688827,52.9208414346,0.3166241335,24.4432187452,,,,,,,-0.9998,,,,,,,,,,61,0,61,0,0,0,,1.7212530736,4.7727685692,false,1.593397,0.15317582,,2,9,false,0.43619972,0.97371924,0.38582194,0.89695626,-157.08496,21.695688,-36.85296,21.741222,61,615.2580956357,2.7836859694,18.5521267216,NOT_AVAILABLE,176.494025917,-48.7650638266,42.5177761112,-15.9995761519
1.63537841078193E+018,21509196407424,524108325,2015,44.8965060829,0.8889591685,0.3119903976,0.6323417387,,,,,,,-0.5038,,,,,,,,,,62,0,61,0,1,0,,1.2857096015,1.4692346196,false,1.2328764,0.14398184,,2,8,false,0.5464313,0.690142,0.5852374,0.8705636,-142.3409,19.57529,-41.954044,23.295704,61,444.4226188017,2.7479298367,18.9052796784,NOT_AVAILABLE,176.5114880497,-48.7598934829,42.5280365976,-16.0074472149
1.63537841078193E+018,21680995106304,275251281,2015,44.9392534722,51.2207200572,0.3440790875,23.6368287146,,,,,,,-0.99815,,,,,,,,,,52,0,52,0,0,0,,7.6697429748,19.9644041926,false,4.179457,0.013262112,,2,7,false,0.30499804,0.9795242,0.2863928,0.91992915,-150.55746,23.402449,-29.884825,23.481646,52,240.9164792948,3.2547263807,19.5701037942,NOT_AVAILABLE,176.5218729175,-48.7068835973,42.5803352004,-15.9892927807
1.63537841078193E+018,21784074270976,421571012,2015,44.8753048438,0.0899478674,0.3330814666,0.0629283743,,,,,,,-0.3085,,,,,,,,,,80,0,80,0,0,0,,0.3332693401,19.2860857445,false,1.4654766,6.9563155,,2,9,false,0.3627819,0.54859096,0.42845145,0.88180745,-119.169876,17.683624,-46.21773,24.053522,80,31701.9252551729,17.2770088673,14.2720559696,NOT_AVAILABLE,176.4661285248,-48.7603479195,42.5133835555,-15.9810672725
